timestamp,date,hour,day_name,location_id,road_name,latitude,longitude,vehicle_count,car_count,motorcycle_count,bus_count,truck_count,average_speed,road_occupancy,weather_condition,traffic_density,congestion_level,vehicle_cluster,anomaly_label,predicted_congestion
2026-05-01 00:00:00,2026-05-01,0,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,53,16,32,1,4,51.2,30.84,Clear,16.35,Low,-1,Normal,16.35
2026-05-01 00:15:00,2026-05-01,0,Friday,LOC_003,Jl. Gatot Subroto,2.3375,99.0729,48,12,29,2,5,36.96,29.38,Cloudy,14.1,Medium,-1,Normal,14.1
2026-05-01 00:30:00,2026-05-01,0,Friday,LOC_002,Jl. Sudirman,2.3348,99.0701,36,10,19,1,6,51.14,24.08,Cloudy,8.67,Low,-1,Normal,8.67
2026-05-01 00:45:00,2026-05-01,0,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,29,8,15,1,5,63.61,14.98,Clear,4.34,Low,-1,Normal,4.34
2026-05-01 01:00:00,2026-05-01,1,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,49,12,28,2,7,41.05,24.22,Foggy,11.87,Medium,-1,Normal,11.87
2026-05-01 01:15:00,2026-05-01,1,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,58,18,29,2,9,50.45,26.93,Clear,15.62,Low,-1,Normal,15.62
2026-05-01 01:30:00,2026-05-01,1,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,59,17,32,2,8,42.37,33.87,Cloudy,19.98,Medium,-1,Normal,19.98
2026-05-01 01:45:00,2026-05-01,1,Friday,LOC_002,Jl. Sudirman,2.3348,99.0701,50,12,31,1,6,52.04,26.27,Clear,13.14,Low,-1,Normal,13.14
2026-05-01 02:00:00,2026-05-01,2,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,26,7,16,0,3,52.62,8.79,Cloudy,2.29,Low,-1,Normal,2.29
2026-05-01 02:15:00,2026-05-01,2,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,50,12,31,2,5,43.79,30.84,Foggy,15.42,Medium,-1,Normal,15.42
