timestamp,date,hour,day_name,location_id,road_name,latitude,longitude,vehicle_count,car_count,motorcycle_count,bus_count,truck_count,average_speed,road_occupancy,weather_condition,traffic_density,congestion_level,predicted_congestion,predicted_congestion_level,vehicle_cluster,cluster_interpretation,anomaly_label,anomaly_score
2026-05-01 00:00:00,2026-05-01,0,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,53,16,32,1,4,51.2,30.84,Clear,16.35,Low,16.29,Low,0,Light Traffic,Normal,0.1162
2026-05-01 00:15:00,2026-05-01,0,Friday,LOC_003,Jl. Gatot Subroto,2.3375,99.0729,48,12,29,2,5,36.96,29.38,Cloudy,14.1,Medium,14.25,Low,0,Mixed Traffic,Normal,0.0953
2026-05-01 00:30:00,2026-05-01,0,Friday,LOC_002,Jl. Sudirman,2.3348,99.0701,36,10,19,1,6,51.14,24.08,Cloudy,8.67,Low,8.67,Low,0,Light Traffic,Normal,0.1203
2026-05-01 00:45:00,2026-05-01,0,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,29,8,15,1,5,63.61,14.98,Clear,4.34,Low,4.38,Low,0,Light Traffic,Normal,0.0316
2026-05-01 01:00:00,2026-05-01,1,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,49,12,28,2,7,41.05,24.22,Foggy,11.87,Medium,11.82,Low,0,Light Traffic,Normal,0.1098
2026-05-01 01:15:00,2026-05-01,1,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,58,18,29,2,9,50.45,26.93,Clear,15.62,Low,15.81,Low,0,Light Traffic,Normal,0.118
2026-05-01 01:30:00,2026-05-01,1,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,59,17,32,2,8,42.37,33.87,Cloudy,19.98,Medium,19.91,Low,0,Light Traffic,Normal,0.1244
2026-05-01 01:45:00,2026-05-01,1,Friday,LOC_002,Jl. Sudirman,2.3348,99.0701,50,12,31,1,6,52.04,26.27,Clear,13.14,Low,13.31,Low,0,Light Traffic,Normal,0.1248
2026-05-01 02:00:00,2026-05-01,2,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,26,7,16,0,3,52.62,8.79,Cloudy,2.29,Low,2.39,Low,0,Light Traffic,Normal,0.0216
2026-05-01 02:15:00,2026-05-01,2,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,50,12,31,2,5,43.79,30.84,Foggy,15.42,Medium,15.39,Low,0,Light Traffic,Normal,0.1376
2026-05-01 02:30:00,2026-05-01,2,Friday,LOC_002,Jl. Sudirman,2.3348,99.0701,58,14,35,1,8,48.23,24.68,Foggy,14.31,Low,14.08,Low,0,Light Traffic,Normal,0.1138
2026-05-01 02:45:00,2026-05-01,2,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,66,18,33,2,13,43.75,43.45,Rainy,28.68,Medium,28.92,Low,0,Light Traffic,Normal,0.1136
